State Name,State Code,Incumbent,Incumbent Photo,Election Note,Dem Candidate,Dem Photo,Rep Candidate,Rep Photo,Combined,Cook,Inside Elections,Sabato,Daily Kos,Politico,RCP,Niskanen,270towin, 
Massachusetts,MA,Ed Markey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/190px-Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,Massachusetts is an incredibly safe senate seat but there's a competitive democratic challenge for incumbent Ed Markey's seat launched by house rep Joe Kennedy,contested,,contested,,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,
Michigan,MI,Debbie Stabenow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/190px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Michigan,MI,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/190px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/190px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,John James,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/John_James_3_%281%29.png/204px-John_James_3_%281%29.png,leans_d,leans_d,leans_d,leans_d,leans_d,leans_d,tossup,safe_d,likely_d,
Minnesota,MN,Amy Klobuchar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/190px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Minnesota,MN,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/190px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/190px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,Jason Lewis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Jason_Lewis%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg/241px-Jason_Lewis%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg,likely_d,safe_d,safe_d,likely_d,likely_d,likely_d,leans_d,safe_d,likely_d,
Mississippi,MS,Roger Wicker,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Roger_F._Wicker_crop.jpg/190px-Roger_F._Wicker_crop.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Mississippi,MS,Cindy Hyde-Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg/190px-Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg,,Mike Espy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mike_Espy_20120223-OCE-RBN-1281_%28cropped_2%29.jpg/205px-Mike_Espy_20120223-OCE-RBN-1281_%28cropped_2%29.jpg,Cindy Hyde-Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg/190px-Cindy_Hyde-Smith_official_photo_%28cropped%29.jpg,likely_r,safe_r,safe_r,safe_r,safe_r,likely_r,likely_r,safe_r,safe_r,
Missouri,MO,Roy Blunt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/190px-Roy_Blunt%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Missouri,MO,Josh Hawley,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Josh_Hawley_%28cropped%29.jpg/190px-Josh_Hawley_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Montana,MT,Jon Tester,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/JonTester_%28cropped%29.jpg/190px-JonTester_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Montana,MT,Steve Daines,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Steve_Daines_official_Senate_portrait_%28cropped%29.jpg/190px-Steve_Daines_official_Senate_portrait_%28cropped%29.jpg,,Steve Bullock,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Steve_Bullock_by_Gage_Skidmore.jpg/213px-Steve_Bullock_by_Gage_Skidmore.jpg,Steve Daines,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Steve_Daines_official_Senate_portrait_%28cropped%29.jpg/190px-Steve_Daines_official_Senate_portrait_%28cropped%29.jpg,tossup,tossup,tossup,leans_r,leans_r,tossup,tossup,tossup,tossup,
Nebraska,NE,Deb Fischer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg/190px-Deb_Fischer%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
